METADATA,,,,DATA,,,,,,,,,,,,14C,,,,,,
site_name,Zoige,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
,,,,208.5,1756.128571,0.15,57.4,0.086,29.8,,0.045,Cyperaceae,2,,,,,,,,,
,,,,209.5,1769.314286,0.181,55.7,0.101,29,,0.052,Cyperaceae,2,,,,,,,,,
,,,,210.5,1782.5,0.195,55.4,0.108,28.8,,0.056,Cyperaceae,2,,,,,,,,,
,,,,211.5,1809.441667,0.136,66,0.09,34.3,,0.047,Cyperaceae,2,,,,,,,,,
,,,,212.5,1836.383333,0.193,62.1,0.12,32.3,,0.062,Cyperaceae,2,,,,,,,,,
,,,,213.5,1863.325,0.146,61.7,0.09,32.1,,0.047,Cyperaceae,2,,,,,,,,,
,,,,214.5,1890.266667,0.172,64.3,0.111,33.5,,0.058,Cyperaceae,2,,,,,,,,,
,,,,215.5,1917.208333,0.102,79.9,0.082,41.6,,0.042,Cyperaceae,2,,,,,,,,,
,,,,216.5,1944.15,0.171,76.1,0.13,39.6,,0.068,Cyperaceae,2,,,,,,,,,
,,,,217.5,1971.091667,0.126,75.8,0.096,39.4,,0.05,Cyperaceae,2,,,,,,,,,
,,,,218.5,1998.033333,0.217,68.7,0.149,35.7,,0.078,Cyperaceae,2,,,,,,,,,
,,,,219.5,2024.975,0.288,53,0.153,27.6,,0.079,Cyperaceae,2,,,,,,,,,
,,,,220.5,2051.916667,0.271,51.8,0.14,26.9,,0.073,Cyperaceae,2,,,,,,,,,
,,,,221.5,2078.858333,0.225,55,0.124,28.6,,0.064,Cyperaceae,2,,,,,,,,,
,,,,222.5,2105.8,0.188,54.6,0.103,28.4,,0.053,Cyperaceae,2,,,,,,,,,
,,,,223.5,2132.741667,0.203,56.5,0.115,29.4,,0.06,Cyperaceae,2,,,,,,,,,
,,,,224.5,2159.683333,0.221,52.6,0.116,27.3,,0.06,Cyperaceae,2,,,,,,,,,
,,,,225.5,2186.625,0.197,58.4,0.115,30.4,,0.06,Cyperaceae,2,,,,,,,,,
,,,,226.5,2213.566667,0.23,50.7,0.117,26.3,,0.061,Cyperaceae,2,,,,,,,,,
,,,,227.5,2240.508333,0.214,50,0.107,26,,0.056,Cyperaceae,2,,,,,,,,,
,,,,228.5,2267.45,0.219,44.4,0.097,23.1,,0.05,Cyperaceae,2,,,,,,,,,
,,,,229.5,2294.391667,0.217,50.1,0.109,26,,0.057,Cyperaceae,2,,,,,,,,,
,,,,230.5,2321.333333,0.248,43.7,0.108,22.7,,0.056,Cyperaceae,2,,,,,,,,,
,,,,231.5,2348.275,0.225,44.5,0.1,23.1,,0.052,Cyperaceae,2,,,,,,,,,
,,,,232.5,2375.216667,0.265,42.1,0.111,21.9,,0.058,Cyperaceae,2,,,,,,,,,
,,,,233.5,2402.158333,0.342,34.8,0.119,18.1,,0.062,Cyperaceae,2,,,,,,,,,
,,,,234.5,2429.1,0.359,33.1,0.119,17.2,,0.062,Cyperaceae,2,,,,,,,,,
,,,,235.5,2456.041667,0.319,36.3,0.116,18.9,,0.06,Cyperaceae,2,,,,,,,,,
,,,,236.5,2482.983333,0.231,36.3,0.084,18.9,,0.044,Cyperaceae,2,,,,,,,,,
,,,,237.5,2509.925,0.278,37.7,0.105,19.6,,0.055,Cyperaceae,2,,,,,,,,,
,,,,238.5,2536.866667,0.261,41.7,0.109,21.7,,0.057,Cyperaceae,2,,,,,,,,,
,,,,239.5,2563.808333,0.216,48,0.104,25,,0.054,Cyperaceae,2,,,,,,,,,
,,,,240.5,2590.75,0.24,46.3,0.111,24.1,,0.058,Cyperaceae,2,,,,,,,,,
,,,,241.5,2617.691667,0.294,43.1,0.127,22.4,,0.066,Cyperaceae,2,,,,,,,,,
,,,,242.5,2644.633333,0.235,41.3,0.097,21.5,,0.05,Cyperaceae,2,,,,,,,,,
,,,,243.5,2671.575,0.258,44.6,0.115,23.2,,0.06,Cyperaceae,2,,,,,,,,,
,,,,244.5,2698.516667,0.223,44.5,0.099,23.1,,0.051,Cyperaceae,2,,,,,,,,,
,,,,245.5,2725.458333,0.214,42.5,0.091,22.1,,0.047,Cyperaceae,2,,,,,,,,,
,,,,246.5,2752.4,0.164,49.7,0.081,25.8,,0.042,Cyperaceae,2,,,,,,,,,
,,,,247.5,2779.341667,0.193,53.3,0.103,27.7,,0.054,Cyperaceae,2,,,,,,,,,
,,,,248.5,2806.283333,0.273,52.1,0.142,27.1,,0.074,Cyperaceae,2,,,,,,,,,
,,,,249.5,2833.225,0.217,50.6,0.11,26.3,,0.057,Cyperaceae,2,,,,,,,,,
,,,,250.5,2860.166667,0.247,48.1,0.119,25,,0.062,Cyperaceae,2,,,,,,,,,
,,,,251.5,2887.108333,0.202,50.6,0.102,26.3,,0.053,Cyperaceae,2,,,,,,,,,
,,,,252.5,2914.05,0.227,50.1,0.114,26.1,,0.059,Cyperaceae,2,,,,,,,,,
,,,,253.5,2940.991667,0.216,49.3,0.107,25.7,,0.055,Cyperaceae,2,,,,,,,,,
,,,,254.5,2967.933333,0.225,51.6,0.116,26.9,,0.06,Cyperaceae,2,,,,,,,,,
,,,,255.5,2994.875,0.253,51.6,0.131,26.8,,0.068,Cyperaceae,2,,,,,,,,,
,,,,256.5,3021.816667,0.209,47.6,0.1,24.7,,0.052,Cyperaceae,2,,,,,,,,,
,,,,257.5,3048.758333,0.221,45.2,0.1,23.5,,0.052,Cyperaceae,2,,,,,,,,,
,,,,258.5,3075.7,0.241,44.3,0.107,23,,0.055,Cyperaceae,2,,,,,,,,,
,,,,259.5,3102.641667,0.246,49.8,0.123,25.9,,0.064,Cyperaceae,2,,,,,,,,,
,,,,260.5,3129.583333,0.158,61.7,0.097,32.1,,0.051,Cyperaceae,2,,,,,,,,,
,,,,261.5,3156.525,0.157,62.4,0.098,32.5,,0.051,Cyperaceae,2,,,,,,,,,
,,,,262.5,3183.466667,0.126,62.1,0.078,32.3,,0.041,Cyperaceae,2,,,,,,,,,
,,,,263.5,3210.408333,0.141,55.2,0.078,28.7,,0.041,Cyperaceae,2,,,,,,,,,
,,,,264.5,3237.35,0.156,53,0.082,27.5,,0.043,Cyperaceae,2,,,,,,,,,
,,,,265.5,3264.291667,0.161,47.9,0.077,24.9,,0.04,Cyperaceae,2,,,,,,,,,
,,,,266.5,3291.233333,0.225,52.3,0.118,27.2,,0.061,Cyperaceae,2,,,,,,,,,
,,,,267.5,3318.175,0.166,60.1,0.1,31.3,,0.052,Cyperaceae,2,,,,,,,,,
,,,,268.5,3345.116667,0.161,66.9,0.108,34.8,,0.056,Cyperaceae,2,,,,,,,,,
,,,,269.5,3372.058333,0.186,69.2,0.128,36,,0.067,Cyperaceae,2,,,,,,,,,
,,,,270.5,3399,0.149,66.5,0.099,34.6,,0.052,Cyperaceae,2,,,,,,,,,
,,,,271.5,3422.7,0.168,51,0.085,26.5,,0.044,Cyperaceae,2,,,,,,,,,
,,,,272.5,3446.4,0.197,56.8,0.112,29.5,,0.058,Cyperaceae,2,,,,,,,,,
,,,,273.5,3470.1,0.219,55.6,0.121,28.9,,0.063,Cyperaceae,2,,,,,,,,,
,,,,274.5,3493.8,0.13,72.1,0.094,37.5,,0.049,Cyperaceae,2,,,,,,,,,
,,,,275.5,3517.5,0.139,62.3,0.087,32.4,,0.045,Cyperaceae,2,,,,,,,,,
,,,,276.5,3541.2,0.177,56.2,0.099,29.2,,0.052,Cyperaceae,2,,,,,,,,,
,,,,277.5,3564.9,0.217,50.5,0.11,26.3,,0.057,Cyperaceae,2,,,,,,,,,
,,,,278.5,3588.6,0.199,53.7,0.107,27.9,,0.056,Cyperaceae,2,,,,,,,,,
,,,,279.5,3612.3,0.209,59.3,0.124,30.8,,0.065,Cyperaceae,2,,,,,,,,,
,,,,280.5,3636,0.142,62.2,0.088,32.3,,0.046,Cyperaceae,2,,,,,,,,,
,,,,281.5,3659.7,0.147,60.9,0.089,31.7,,0.046,Cyperaceae,2,,,,,,,,,
,,,,282.5,3683.4,0.203,53.3,0.108,27.7,,0.056,Cyperaceae,2,,,,,,,,,
,,,,283.5,3707.1,0.143,66.3,0.095,34.5,,0.049,Cyperaceae,2,,,,,,,,,
,,,,284.5,3730.8,0.191,60.9,0.117,31.6,,0.061,Cyperaceae,2,,,,,,,,,
,,,,285.5,3754.5,0.153,64.3,0.098,33.5,,0.051,Cyperaceae,2,,,,,,,,,
,,,,286.5,3778.2,0.163,65.8,0.107,34.2,,0.056,Cyperaceae,2,,,,,,,,,
,,,,287.5,3801.9,0.156,63.4,0.099,33,,0.051,Cyperaceae,2,,,,,,,,,
,,,,288.5,3825.6,0.194,57.4,0.111,29.8,,0.058,Cyperaceae,2,,,,,,,,,
,,,,289.5,3849.3,0.127,63.3,0.08,32.9,,0.042,Cyperaceae,2,,,,,,,,,
,,,,290.5,3873,0.183,60.5,0.111,31.4,,0.057,Cyperaceae,2,,,,,,,,,
,,,,291.5,3896.7,0.112,61.9,0.069,32.2,,0.036,Cyperaceae,2,,,,,,,,,
,,,,292.5,3920.4,0.092,70.3,0.064,36.6,,0.033,Cyperaceae,2,,,,,,,,,
,,,,293.5,3944.1,0.12,61.7,0.074,32.1,,0.039,Cyperaceae,2,,,,,,,,,
,,,,294.5,3967.8,0.134,67,0.09,34.9,,0.047,Cyperaceae,2,,,,,,,,,
,,,,295.5,3991.5,0.132,63.5,0.084,33,,0.044,Cyperaceae,2,,,,,,,,,
,,,,296.5,4015.2,0.172,63.4,0.109,33,,0.057,Cyperaceae,2,,,,,,,,,
,,,,297.5,4038.9,0.118,65.5,0.077,34.1,,0.04,Cyperaceae,2,,,,,,,,,
,,,,298.5,4062.6,0.134,66.1,0.089,34.4,,0.046,Cyperaceae,2,,,,,,,,,
,,,,299.5,4086.3,0.18,56.9,0.103,29.6,,0.053,Cyperaceae,2,,,,,,,,,
,,,,300.5,4110,0.152,63.7,0.097,33.1,,0.05,Cyperaceae,2,,,,,,,,,
,,,,301.5,4133.7,0.147,54.1,0.08,28.1,,0.041,Cyperaceae,2,,,,,,,,,
,,,,302.5,4157.4,0.165,53.1,0.088,27.6,,0.046,Cyperaceae,2,,,,,,,,,
,,,,303.5,4181.1,0.161,53.2,0.086,27.7,,0.045,Cyperaceae,2,,,,,,,,,
,,,,304.5,4204.8,0.167,56.4,0.094,29.3,,0.049,Cyperaceae,2,,,,,,,,,
,,,,305.5,4228.5,0.165,57.3,0.095,29.8,,0.049,Cyperaceae,2,,,,,,,,,
,,,,306.5,4252.2,0.153,51.2,0.079,26.6,,0.041,Cyperaceae,2,,,,,,,,,
,,,,307.5,4275.9,0.169,50.4,0.085,26.2,,0.044,Cyperaceae,2,,,,,,,,,
,,,,308.5,4299.6,0.216,57.7,0.124,30,,0.065,Cyperaceae,2,,,,,,,,,
,,,,309.5,4323.3,0.164,58.6,0.096,30.5,,0.05,Cyperaceae,2,,,,,,,,,
,,,,310.5,4347,0.157,59.1,0.093,30.7,,0.048,Cyperaceae,2,,,,,,,,,
,,,,311.5,4370.7,0.14,66.9,0.093,34.8,,0.049,Cyperaceae,2,,,,,,,,,
,,,,312.5,4394.4,0.14,72,0.101,37.4,,0.052,Cyperaceae,2,,,,,,,,,
,,,,313.5,4418.1,0.144,67.1,0.097,34.9,,0.05,Cyperaceae,2,,,,,,,,,
,,,,314.5,4441.8,0.169,49.5,0.084,25.7,,0.044,Cyperaceae,2,,,,,,,,,
,,,,315.5,4465.5,0.151,63.5,0.096,33,,0.05,Cyperaceae,2,,,,,,,,,
,,,,316.5,4489.2,0.133,72.4,0.097,37.6,,0.05,Cyperaceae,2,,,,,,,,,
,,,,317.5,4512.9,0.164,58.8,0.096,30.6,,0.05,Cyperaceae,2,,,,,,,,,
,,,,318.5,4536.6,0.186,50.3,0.093,26.2,,0.049,Cyperaceae,2,,,,,,,,,
,,,,319.5,4560.3,0.169,57.1,0.097,29.7,,0.05,Cyperaceae,2,,,,,,,,,
,,,,320.5,4584,0.191,52.6,0.1,27.3,,0.052,Cyperaceae,2,,,,,,,,,
,,,,321.5,4607.7,0.145,61.2,0.089,31.8,,0.046,Cyperaceae,2,,,,,,,,,
,,,,322.5,4631.4,0.145,68.3,0.099,35.5,,0.052,Cyperaceae,2,,,,,,,,,
,,,,323.5,4655.1,0.145,69,0.1,35.9,,0.052,Cyperaceae,2,,,,,,,,,
,,,,324.5,4678.8,0.171,70.4,0.12,36.6,,0.063,Cyperaceae,2,,,,,,,,,
,,,,325.5,4702.5,0.189,71.7,0.135,37.3,,0.07,Cyperaceae,2,,,,,,,,,
,,,,326.5,4726.2,0.14,74.6,0.105,38.8,,0.054,Cyperaceae,2,,,,,,,,,
,,,,327.5,4749.9,0.181,62.5,0.113,32.5,,0.059,Cyperaceae,2,,,,,,,,,
,,,,328.5,4773.6,0.146,68.1,0.1,35.4,,0.052,Cyperaceae,2,,,,,,,,,
,,,,329.5,4797.3,0.152,75.2,0.114,39.1,,0.06,Cyperaceae,2,,,,,,,,,
,,,,330.5,4821,0.162,63.3,0.103,32.9,,0.053,Cyperaceae,2,,,,,,,,,
,,,,331.5,4844.7,0.14,64.4,0.09,33.5,,0.047,Cyperaceae,2,,,,,,,,,
,,,,332.5,4868.4,0.123,76.4,0.094,39.7,,0.049,Cyperaceae,2,,,,,,,,,
,,,,333.5,4892.1,0.142,78,0.111,40.5,,0.058,Cyperaceae,2,,,,,,,,,
,,,,334.5,4915.8,0.132,72.3,0.095,37.6,,0.05,Cyperaceae,2,,,,,,,,,
,,,,335.5,4939.5,0.159,71.7,0.114,37.3,,0.059,Cyperaceae,2,,,,,,,,,
,,,,336.5,4963.2,0.147,67.1,0.098,34.9,,0.051,Cyperaceae,2,,,,,,,,,
,,,,337.5,4986.9,0.095,69.5,0.066,36.1,,0.034,Cyperaceae,2,,,,,,,,,
,,,,338.5,5010.6,0.14,64.5,0.09,33.5,,0.047,Cyperaceae,2,,,,,,,,,
,,,,339.5,5034.3,0.127,70.4,0.089,36.6,,0.046,Cyperaceae,2,,,,,,,,,
,,,,340.5,5058,0.148,59,0.087,30.7,,0.045,Cyperaceae,2,,,,,,,,,
,,,,341.5,5081.7,0.139,65.2,0.09,33.9,,0.047,Cyperaceae,2,,,,,,,,,
,,,,342.5,5105.4,0.13,76.8,0.1,39.9,,0.052,Cyperaceae,2,,,,,,,,,
,,,,343.5,5129.1,0.122,75.7,0.093,39.4,,0.048,Cyperaceae,2,,,,,,,,,
,,,,344.5,5152.8,0.112,72.1,0.081,37.5,,0.042,Cyperaceae,2,,,,,,,,,
,,,,345.5,5176.5,0.148,65.1,0.097,33.9,,0.05,Cyperaceae,2,,,,,,,,,
,,,,346.5,5200.2,0.147,63.2,0.093,32.8,,0.048,Cyperaceae,2,,,,,,,,,
,,,,347.5,5223.9,0.1,72.9,0.073,37.9,,0.038,Cyperaceae,2,,,,,,,,,
,,,,348.5,5247.6,0.141,68.1,0.096,35.4,,0.05,Cyperaceae,2,,,,,,,,,
,,,,349.5,5271.3,0.102,78.4,0.08,40.8,,0.041,Cyperaceae,2,,,,,,,,,
,,,,350.5,5295,0.146,58.6,0.086,30.5,,0.044,Cyperaceae,2,,,,,,,,,
,,,,351.5,5318.7,0.115,54.6,0.063,28.4,,0.033,Cyperaceae,2,,,,,,,,,
,,,,352.5,5342.4,0.156,53,0.083,27.6,,0.043,Cyperaceae,2,,,,,,,,,
,,,,353.5,5366.1,0.141,56,0.079,29.1,,0.041,Cyperaceae,2,,,,,,,,,
,,,,354.5,5389.8,0.165,58.7,0.097,30.5,,0.05,Cyperaceae,2,,,,,,,,,
,,,,355.5,5413.5,0.153,55.1,0.085,28.7,,0.044,Cyperaceae,2,,,,,,,,,
,,,,356.5,5437.2,0.17,56.9,0.097,29.6,,0.05,Cyperaceae,2,,,,,,,,,
,,,,357.5,5460.9,0.104,75.7,0.079,39.3,,0.041,Cyperaceae,2,,,,,,,,,
,,,,358.5,5484.6,0.123,75.3,0.092,39.2,,0.048,Cyperaceae,2,,,,,,,,,
,,,,359.5,5508.3,0.103,70.2,0.072,36.5,,0.038,Cyperaceae,2,,,,,,,,,
,,,,360.5,5532,0.098,73.9,0.073,38.4,,0.038,Cyperaceae,2,,,,,,,,,
,,,,361.5,5550.264286,0.167,64.1,0.107,33.3,,0.056,Cyperaceae,2,,,,,,,,,
,,,,362.5,5568.528571,0.096,68.4,0.065,35.6,,0.034,Cyperaceae,2,,,,,,,,,
,,,,363.5,5586.792857,0.116,72,0.084,37.4,,0.044,Cyperaceae,2,,,,,,,,,
,,,,364.5,5605.057143,0.141,71.6,0.101,37.2,,0.053,Cyperaceae,2,,,,,,,,,
,,,,365.5,5623.321429,0.123,77.3,0.095,40.2,,0.05,Cyperaceae,2,,,,,,,,,
,,,,366.5,5641.585714,0.125,78.3,0.098,40.7,,0.051,Cyperaceae,2,,,,,,,,,
,,,,367.5,5659.85,0.119,74.8,0.089,38.9,,0.046,Cyperaceae,2,,,,,,,,,
,,,,368.5,5678.114286,0.096,69.7,0.067,36.3,,0.035,Cyperaceae,2,,,,,,,,,
,,,,369.5,5696.378571,0.131,71,0.093,36.9,,0.049,Cyperaceae,2,,,,,,,,,
,,,,370.5,5714.642857,0.144,63.9,0.092,33.2,,0.048,Cyperaceae,2,,,,,,,,,
,,,,371.5,5732.907143,0.132,69.1,0.091,35.9,,0.048,Cyperaceae,2,,,,,,,,,
,,,,372.5,5751.171429,0.166,68.3,0.114,35.5,,0.059,Cyperaceae,2,,,,,,,,,
,,,,373.5,5769.435714,0.092,64.9,0.06,33.7,,0.031,Cyperaceae,2,,,,,,,,,
,,,,374.5,5787.7,0.158,79.1,0.125,41.1,,0.065,Cyperaceae,2,,,,,,,,,
,,,,375.5,5805.964286,0.143,63,0.09,32.7,,0.047,Cyperaceae,2,,,,,,,,,
,,,,376.5,5824.228571,0.125,63.3,0.079,32.9,,0.041,Cyperaceae,2,,,,,,,,,
,,,,377.5,5842.492857,0.101,75.1,0.075,39,,0.039,Cyperaceae,2,,,,,,,,,
,,,,378.5,5860.757143,0.113,63.9,0.072,33.2,,0.038,Cyperaceae,2,,,,,,,,,
,,,,379.5,5879.021429,0.112,64.3,0.072,33.4,,0.037,Cyperaceae,2,,,,,,,,,
,,,,380.5,5897.285714,0.1,64.6,0.065,33.6,,0.034,Cyperaceae,2,,,,,,,,,
,,,,381.5,5915.55,0.161,57.7,0.093,30,,0.048,Cyperaceae,2,,,,,,,,,
,,,,382.5,5933.814286,0.14,72.9,0.102,37.9,,0.053,Cyperaceae,2,,,,,,,,,
,,,,383.5,5952.078571,0.145,60.8,0.088,31.6,,0.046,Cyperaceae,2,,,,,,,,,
,,,,384.5,5970.342857,0.122,73.7,0.09,38.3,,0.047,Cyperaceae,2,,,,,,,,,
,,,,385.5,5988.607143,0.136,70.7,0.096,36.8,,0.05,Cyperaceae,2,,,,,,,,,
,,,,386.5,6006.871429,0.121,78.2,0.095,40.7,,0.049,Cyperaceae,2,,,,,,,,,
,,,,387.5,6025.135714,0.106,77.7,0.083,40.4,,0.043,Cyperaceae,2,,,,,,,,,
,,,,388.5,6043.4,0.117,81.5,0.096,42.4,,0.05,Cyperaceae,2,,,,,,,,,
,,,,389.5,6061.664286,0.106,76.4,0.081,39.7,,0.042,Cyperaceae,2,,,,,,,,,
,,,,390.5,6079.928571,0.096,74.5,0.072,38.8,,0.037,Cyperaceae,2,,,,,,,,,
,,,,391.5,6098.192857,0.12,81.8,0.098,42.5,,0.051,Cyperaceae,2,,,,,,,,,
,,,,392.5,6116.457143,0.108,73.1,0.079,38,,0.041,Cyperaceae,2,,,,,,,,,
,,,,393.5,6134.721429,0.115,78.2,0.09,40.7,,0.047,Cyperaceae,2,,,,,,,,,
,,,,394.5,6152.985714,0.13,69.6,0.091,36.2,,0.047,Cyperaceae,2,,,,,,,,,
,,,,395.5,6171.25,0.112,76.2,0.085,39.6,,0.044,Cyperaceae,2,,,,,,,,,
,,,,396.5,6189.514286,0.114,77.4,0.088,40.3,,0.046,Cyperaceae,2,,,,,,,,,
,,,,397.5,6207.778571,0.097,74.5,0.072,38.7,,0.038,Cyperaceae,2,,,,,,,,,
,,,,398.5,6226.042857,0.077,75.3,0.058,39.2,,0.03,Cyperaceae,2,,,,,,,,,
,,,,399.5,6244.307143,0.12,72.7,0.087,37.8,,0.045,Cyperaceae,2,,,,,,,,,
,,,,400.5,6262.571429,0.158,62.9,0.099,32.7,,0.052,Cyperaceae,2,,,,,,,,,
,,,,401.5,6280.835714,0.123,69.1,0.085,35.9,,0.044,Cyperaceae,2,,,,,,,,,
,,,,402.5,6299.1,0.153,62.5,0.096,32.5,,0.05,Cyperaceae,2,,,,,,,,,
,,,,403.5,6317.364286,0.12,66,0.079,34.3,,0.041,Cyperaceae,2,,,,,,,,,
,,,,404.5,6335.628571,0.072,75.2,0.054,39.1,,0.028,Cyperaceae,2,,,,,,,,,
,,,,405.5,6353.892857,0.137,68.4,0.094,35.6,,0.049,Cyperaceae,2,,,,,,,,,
,,,,406.5,6372.157143,0.127,71.9,0.091,37.4,,0.047,Cyperaceae,2,,,,,,,,,
,,,,407.5,6390.421429,0.095,85.1,0.081,44.2,,0.042,Cyperaceae,2,,,,,,,,,
,,,,408.5,6408.685714,0.093,89.3,0.083,46.5,,0.043,Cyperaceae,2,,,,,,,,,
,,,,409.5,6426.95,0.105,90.6,0.095,47.1,,0.049,Cyperaceae,2,,,,,,,,,
