METADATA,,,,DATA,,,,,,,,,,,,14C,,,,,,
site_name,Mosaik,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
,,,,228.5,4862.590909,0.098,98.9,0.097,,,0.047,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,229.5,4895.613636,0.097,98.7,0.096,,,0.047,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,230.5,4928.636364,0.077,98.8,0.076,,,0.037,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,231.5,4961.659091,0.084,98.2,0.082,,,0.040,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,232.5,4994.681818,0.085,98.2,0.084,,,0.041,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,233.5,5027.704545,0.082,98.4,0.081,,,0.040,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,234.5,5060.727273,0.077,97.9,0.075,,,0.037,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,235.5,5093.75,0.096,98.1,0.095,,,0.046,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,236.5,5126.772727,0.088,98.2,0.087,,,0.042,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,237.5,5159.795455,0.084,99.0,0.083,,,0.041,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,238.5,5192.818182,0.077,98.8,0.076,,,0.037,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,239.5,5225.840909,0.090,98.7,0.089,,,0.044,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,240.5,5258.863636,0.084,99.9,0.084,,,0.041,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,241.5,5291.886364,0.093,98.5,0.092,,,0.045,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,242.5,5324.909091,0.084,98.9,0.083,,,0.041,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,243.5,5357.931818,0.092,98.5,0.090,,,0.044,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,244.5,5390.954545,0.088,99.0,0.088,,,0.043,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,245.5,5423.977273,0.101,98.9,0.099,,,0.049,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,246.5,5457,0.094,98.8,0.093,,,0.046,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,247.5,5490.25,0.103,98.2,0.101,,,0.050,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,248.5,5523.5,0.118,96.6,0.114,,,0.056,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,249.5,5556.75,0.112,97.2,0.109,,,0.053,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,250.5,5590,0.106,98.3,0.104,,,0.051,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,251.5,5623.25,0.102,98.5,0.100,,,0.049,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,252.5,5656.5,0.105,97.6,0.103,,,0.050,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,253.5,5689.75,0.111,95.3,0.105,,,0.052,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,254.5,5723,0.114,97.2,0.111,,,0.054,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,255.5,5756.25,0.102,98.4,0.101,,,0.049,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,256.5,5789.5,0.109,98.5,0.108,,,0.053,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,257.5,5822.75,0.103,98.6,0.102,,,0.050,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,258.5,5856,0.103,98.7,0.101,,,0.050,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,259.5,5889.25,0.099,98.7,0.098,,,0.048,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,260.5,5922.5,0.103,98.3,0.101,,,0.050,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,261.5,5955.75,0.102,98.7,0.100,,,0.049,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,262.5,5989,0.096,98.2,0.094,,,0.046,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,263.5,6022.25,0.099,98.0,0.097,,,0.048,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,264.5,6055.5,0.089,99.3,0.088,,,0.043,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,265.5,6088.75,0.103,98.0,0.101,,,0.050,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,266.5,6122,0.090,97.6,0.088,,,0.043,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,267.5,6155.25,0.102,97.1,0.099,,,0.048,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,268.5,6188.5,0.110,97.8,0.108,,,0.053,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,269.5,6221.75,0.116,95.0,0.110,,,0.054,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,270.5,6255,0.118,98.8,0.117,,,0.057,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,271.5,6288.25,0.118,98.6,0.117,,,0.057,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,272.5,6321.5,0.119,98.8,0.117,,,0.057,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,273.5,6354.75,0.120,98.7,0.118,,,0.058,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,274.5,6388,0.027,96.7,0.026,,,0.013,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,275.5,6421.25,0.126,97.9,0.124,,,0.061,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,276.5,6454.5,0.116,97.5,0.113,,,0.055,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,277.5,6487.75,0.116,97.9,0.114,,,0.056,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,278.5,6521,0.112,98.5,0.110,,,0.054,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,279.5,6554.25,0.113,98.0,0.110,,,0.054,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,280.5,6587.5,0.114,99.0,0.113,,,0.056,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,281.5,6620.75,0.113,98.8,0.112,,,0.055,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,282.5,6654,0.113,95.8,0.108,,,0.053,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,283.5,6687.25,0.104,95.7,0.099,,,0.049,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,284.5,6720.5,0.095,92.4,0.088,,,0.043,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,285.5,6753.75,0.102,90.6,0.092,,,0.045,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,286.5,6787,0.101,95.4,0.096,,,0.047,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,287.5,6820.25,0.094,94.9,0.089,,,0.044,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,288.5,6853.5,0.088,92.8,0.081,,,0.040,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,289.5,6886.75,0.083,92.7,0.077,,,0.038,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,290.5,6920,0.101,91.3,0.092,,,0.045,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,291.5,6953.25,0.085,92.2,0.079,,,0.039,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,292.5,6986.5,0.079,92.2,0.072,,,0.035,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,293.5,7019.75,0.083,89.1,0.074,,,0.036,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,294.5,7053,0.085,91.6,0.078,,,0.038,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,295.5,7086.25,0.092,88.0,0.081,,,0.040,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,296.5,7119.5,0.097,91.9,0.089,,,0.043,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,297.5,7022.4,0.100,87.2,0.087,,,0.043,Cyperaceae-Ericaceae,3,,,,,,,,,
,,,,298.5,7072.1,0.119,89.5,0.107,,,0.052,,3,,,,,,,,,
,,,,299.5,,0.055,85.3,0.047,,,0.023,,3,,,,,,,,,
